GP_name,quali_pos,constructor,driver,position,driver_confidence,constructor_relaiblity,active_driver,active_constructor,dob
Albert Park Grand Prix Circuit,12,Renault,Daniel Ricciardo,12,0.9421965317919075,0.5301507537688442,1,1,1989-07-01
Albert Park Grand Prix Circuit,14,Renault,Kevin Magnussen,15,0.9523809523809523,0.5301507537688442,1,1,1992-10-05
Albert Park Grand Prix Circuit,9,Renault,Carlos Sainz,9,0.9038461538461539,0.5301507537688442,1,1,1994-09-01
Albert Park Grand Prix Circuit,16,Williams,Valtteri Bottas,16,0.965034965034965,0.4962593516209476,1,1,1989-08-28
Albert Park Grand Prix Circuit,15,Williams,Valtteri Bottas,10,0.965034965034965,0.4962593516209476,1,1,1989-08-28
Albert Park Grand Prix Circuit,0,Williams,Valtteri Bottas,6,0.965034965034965,0.4962593516209476,1,1,1989-08-28
Albert Park Grand Prix Circuit,16,Williams,Valtteri Bottas,11,0.965034965034965,0.4962593516209476,1,1,1989-08-28
Albert Park Grand Prix Circuit,20,Williams,Lance Stroll,19,0.9230769230769231,0.4962593516209476,1,1,1998-10-29
Albert Park Grand Prix Circuit,13,Williams,Lance Stroll,14,0.9230769230769231,0.4962593516209476,1,1,1998-10-29
Albert Park Grand Prix Circuit,19,Williams,George Russell,19,0.9583333333333334,0.4962593516209476,1,1,1998-02-15
Albert Park Grand Prix Circuit,11,McLaren,Lewis Hamilton,11,0.945273631840796,0.5914786967418546,1,1,1985-01-07
Albert Park Grand Prix Circuit,2,McLaren,Lewis Hamilton,2,0.945273631840796,0.5914786967418546,1,1,1985-01-07
Albert Park Grand Prix Circuit,1,McLaren,Lewis Hamilton,1,0.945273631840796,0.5914786967418546,1,1,1985-01-07
Albert Park Grand Prix Circuit,15,McLaren,Sergio Pérez,15,0.9333333333333333,0.5914786967418546,1,1,1990-01-26
Albert Park Grand Prix Circuit,4,McLaren,Kevin Magnussen,4,0.9523809523809523,0.5914786967418546,1,1,1992-10-05
Albert Park Grand Prix Circuit,17,McLaren,Kevin Magnussen,18,0.9523809523809523,0.5914786967418546,1,1,1992-10-05
Albert Park Grand Prix Circuit,18,McLaren,Carlos Sainz,18,0.9038461538461539,0.5914786967418546,1,1,1994-09-01
